               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  75,              1.2621,              1.3062,              1.8176,             0.88893,             0.82892,             0.88747,             0.57048,                   0,                   0,                   0,           0.0061644,           0.0061644,           0.0061644
                  76,              1.2541,              1.2931,              1.8014,             0.83527,             0.81569,              0.8717,             0.55594,                   0,                   0,                   0,           0.0061126,           0.0061126,           0.0061126
                  77,              1.2489,              1.3128,              1.7995,             0.82791,             0.83221,             0.84599,              0.5497,                   0,                   0,                   0,           0.0060607,           0.0060607,           0.0060607
                  78,               1.249,              1.2963,              1.8105,             0.82881,             0.84325,             0.86882,             0.55464,                   0,                   0,                   0,           0.0060089,           0.0060089,           0.0060089
                  79,              1.2299,              1.2705,              1.7903,             0.86599,             0.82386,              0.8716,             0.56241,                   0,                   0,                   0,           0.0059571,           0.0059571,           0.0059571
                  80,              1.2219,              1.2453,              1.7812,             0.84335,             0.83986,             0.87732,             0.57939,                   0,                   0,                   0,           0.0059052,           0.0059052,           0.0059052
                  81,              1.2333,              1.2779,              1.7914,             0.85481,             0.87537,             0.88263,             0.57908,                   0,                   0,                   0,           0.0058534,           0.0058534,           0.0058534
                  82,              1.2442,              1.2785,              1.7986,             0.86752,             0.83557,             0.89254,             0.57185,                   0,                   0,                   0,           0.0058016,           0.0058016,           0.0058016
                  83,              1.2154,              1.2565,              1.7745,              0.8466,             0.84551,             0.88532,             0.59415,                   0,                   0,                   0,           0.0057497,           0.0057497,           0.0057497
                  84,              1.2184,              1.2475,              1.7803,             0.84534,               0.829,             0.87903,             0.59331,                   0,                   0,                   0,           0.0056979,           0.0056979,           0.0056979
                  85,              1.2064,               1.221,              1.7755,             0.86155,             0.84943,             0.86707,             0.56784,                   0,                   0,                   0,           0.0056461,           0.0056461,           0.0056461
                  86,              1.1972,              1.2129,               1.765,             0.86943,             0.81164,              0.8705,             0.57854,                   0,                   0,                   0,           0.0055942,           0.0055942,           0.0055942
                  87,              1.1859,              1.1992,              1.7552,             0.90888,             0.74608,             0.85735,             0.56408,                   0,                   0,                   0,           0.0055424,           0.0055424,           0.0055424
                  88,              1.1823,              1.2056,              1.7586,             0.87218,             0.79481,             0.84966,             0.56451,                   0,                   0,                   0,           0.0054906,           0.0054906,           0.0054906
                  89,              1.2057,              1.2193,              1.7633,             0.88953,              0.8076,             0.86328,             0.56219,                   0,                   0,                   0,           0.0054387,           0.0054387,           0.0054387
                  90,              1.1851,              1.1997,              1.7428,             0.84607,             0.81831,             0.87122,             0.57351,                   0,                   0,                   0,           0.0053869,           0.0053869,           0.0053869
                  91,              1.1799,              1.1871,              1.7476,             0.82748,             0.84642,             0.87473,             0.55534,                   0,                   0,                   0,           0.0053351,           0.0053351,           0.0053351
                  92,              1.1749,              1.1735,              1.7388,             0.82685,             0.87573,               0.904,             0.58287,                   0,                   0,                   0,           0.0052832,           0.0052832,           0.0052832
                  93,              1.1711,              1.1962,              1.7441,             0.89728,             0.81468,             0.88511,             0.57061,                   0,                   0,                   0,           0.0052314,           0.0052314,           0.0052314
                  94,              1.1694,              1.1662,              1.7399,             0.88976,             0.76939,             0.86655,             0.57371,                   0,                   0,                   0,           0.0051796,           0.0051796,           0.0051796
                  95,              1.1581,              1.1397,              1.7224,              0.8692,              0.8247,             0.88258,             0.57751,                   0,                   0,                   0,           0.0051277,           0.0051277,           0.0051277
                  96,              1.1499,              1.1456,              1.7233,             0.89424,             0.82607,             0.88059,             0.59207,                   0,                   0,                   0,           0.0050759,           0.0050759,           0.0050759
