               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  95,              1.4023,              1.7058,              1.9193,             0.88817,             0.72069,             0.75874,             0.57064,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  96,              1.4152,              1.6856,              1.9363,             0.67361,             0.75444,              0.7629,             0.54397,                   0,                   0,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,              1.3943,              1.6409,              1.9054,             0.91896,             0.70358,             0.75196,             0.57261,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  98,              1.4084,              1.6355,              1.9132,             0.93336,             0.67408,             0.73786,              0.5718,                   0,                   0,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,              1.4106,              1.6576,              1.9374,             0.79393,             0.75639,              0.7672,             0.57665,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                 100,              1.4099,              1.6233,              1.9309,             0.94728,             0.66971,             0.76065,             0.56832,                   0,                   0,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,              1.3759,              1.6084,               1.905,             0.94167,             0.69353,             0.78375,             0.57387,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                 102,              1.3735,              1.6068,              1.9024,             0.95614,             0.69271,             0.78445,             0.58826,                   0,                   0,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,              1.3892,              1.6478,              1.9201,             0.95309,             0.72102,             0.78949,              0.5593,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                 104,              1.3781,              1.5714,              1.8777,             0.66999,             0.77381,             0.75955,             0.55021,                   0,                   0,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,              1.3651,              1.6033,              1.8897,             0.93822,             0.69244,             0.78021,             0.54798,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                 106,              1.3672,              1.5559,              1.8869,             0.94552,             0.69112,             0.76627,             0.56587,                   0,                   0,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,              1.3974,              1.6498,              1.9075,             0.92343,             0.69718,             0.77657,             0.59435,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                 108,              1.3514,              1.5764,              1.8868,             0.97302,             0.70706,             0.78855,             0.57317,                   0,                   0,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,              1.3669,              1.5684,              1.8824,             0.69618,             0.77958,             0.77943,             0.59775,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                 110,              1.3795,              1.5696,              1.8958,             0.91637,             0.68889,             0.77356,             0.58838,                   0,                   0,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,              1.3306,              1.5369,              1.8652,             0.89075,             0.69852,               0.755,             0.56602,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                 112,               1.334,              1.5814,              1.8755,             0.65927,             0.75714,             0.76644,              0.5848,                   0,                   0,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,              1.3445,              1.5374,              1.8658,             0.63032,             0.76984,             0.76264,             0.57688,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                 114,              1.3268,              1.5177,              1.8621,             0.70261,             0.75123,             0.78247,             0.58394,                   0,                   0,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,              1.3405,              1.5416,              1.8628,             0.71947,             0.75317,              0.7667,             0.58659,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                 116,              1.3275,              1.5341,               1.874,             0.96002,             0.66141,             0.75757,             0.57702,                   0,                   0,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,              1.3293,              1.5239,              1.8688,             0.92784,             0.71193,             0.76502,             0.57438,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                 118,              1.3187,              1.5344,              1.8655,             0.92069,             0.67328,             0.75418,             0.56337,                   0,                   0,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,              1.3117,              1.4581,              1.8462,              0.9338,                 0.7,             0.75897,              0.5621,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                 120,              1.3061,              1.4983,              1.8581,             0.73331,             0.75597,             0.76031,             0.59399,                   0,                   0,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,              1.3104,              1.4611,              1.8415,             0.69459,             0.76429,             0.75062,             0.58107,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                 122,              1.2928,              1.4599,               1.828,             0.91067,             0.68241,             0.74684,             0.57099,                   0,                   0,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,              1.3129,              1.4596,              1.8567,             0.95191,             0.67565,             0.77853,             0.54969,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                 124,              1.3085,              1.4776,              1.8262,              0.9443,             0.61448,             0.73246,             0.55835,                   0,                   0,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,              1.2796,              1.4321,              1.8106,             0.94604,             0.70824,             0.78073,             0.53263,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                 126,              1.2977,              1.4413,              1.8036,             0.96061,             0.69757,             0.78836,             0.54721,                   0,                   0,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,              1.2933,              1.4348,               1.801,             0.93316,             0.70119,             0.75894,             0.54038,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                 128,              1.2908,              1.4584,              1.8371,             0.90143,             0.72679,             0.76735,             0.58733,                   0,                   0,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,              1.2888,               1.483,              1.8272,             0.90118,             0.69745,             0.72686,             0.57923,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                 130,              1.2695,              1.3971,              1.8144,             0.94813,             0.71667,             0.77022,             0.56007,                   0,                   0,                   0,           0.0036145,           0.0036145,           0.0036145
