                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.93683,                 0.8734,                 1.3265,                0.88067,                0.75749,                0.84517,                0.61206,                 1.1066,                0.83613,                 1.5233,              0.0010298,              0.0010298,              0.0010298
                    100,                0.92345,                0.88182,                 1.3294,                 0.8578,                0.77545,                0.85465,                0.62076,                 1.1124,                0.81869,                 1.5345,              0.0010199,              0.0010199,              0.0010199
                    101,                0.93265,                0.89228,                 1.3478,                0.85182,                0.75729,                0.85025,                0.63034,                  1.056,                 0.8257,                 1.4687,                0.00101,                0.00101,                0.00101
                    102,                0.92236,                0.89026,                 1.3397,                 0.8252,                0.78144,                0.84311,                0.61657,                 1.0659,                0.83821,                 1.5016,              0.0010001,              0.0010001,              0.0010001
                    103,                 0.9273,                0.89128,                 1.3384,                0.88207,                0.74551,                0.85001,                0.61275,                 1.0951,                0.81518,                 1.5195,              0.0009902,              0.0009902,              0.0009902
                    104,                 0.9264,                0.88141,                 1.3362,                0.94011,                0.72754,                0.84649,                0.62111,                 1.1077,                0.80164,                 1.5356,              0.0009803,              0.0009803,              0.0009803
                    105,                 0.9297,                0.88396,                 1.3351,                0.89962,                0.72446,                0.83856,                0.60965,                 1.0997,                0.86377,                 1.5346,              0.0009704,              0.0009704,              0.0009704
                    106,                0.92559,                0.86931,                 1.3298,                0.86437,                0.74414,                0.84435,                0.60687,                 1.1039,                0.83663,                 1.5274,              0.0009605,              0.0009605,              0.0009605
                    107,                0.92181,                0.84186,                 1.3255,                0.90477,                0.77545,                0.87222,                 0.6131,                 1.1242,                0.80941,                 1.5353,              0.0009506,              0.0009506,              0.0009506
                    108,                0.90693,                0.83742,                 1.3044,                0.88367,                0.75052,                0.84281,                0.60399,                 1.0738,                0.83801,                 1.4966,              0.0009407,              0.0009407,              0.0009407
                    109,                0.90166,                0.84647,                 1.3104,                0.91195,                0.74425,                0.85666,                0.61664,                 1.0691,                0.78831,                 1.5006,              0.0009308,              0.0009308,              0.0009308
