                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.0475,                 1.0983,                 1.4168,                0.80226,                0.57917,                0.66167,                0.37546,                 1.5801,                 1.2842,                 2.1109,              0.0006768,              0.0006768,              0.0006768
                    122,                 1.0603,                 1.1185,                 1.4363,                0.84324,                0.59896,                0.69853,                0.39169,                 1.4838,                 1.2737,                 2.0041,             0.00066855,             0.00066855,             0.00066855
                    123,                 1.0469,                 1.0961,                 1.4215,                0.82747,                0.59021,                0.70885,                0.40408,                 1.4824,                 1.2769,                 2.0116,              0.0006603,              0.0006603,              0.0006603
                    124,                 1.0451,                 1.0994,                 1.4126,                0.76187,                0.60006,                0.64575,                0.35371,                 1.6122,                 1.3645,                 2.1265,             0.00065205,             0.00065205,             0.00065205
                    125,                 1.0209,                 1.0605,                 1.3888,                0.78851,                0.59774,                0.67892,                0.36631,                 1.6082,                 1.3462,                 2.1498,              0.0006438,              0.0006438,              0.0006438
                    126,                 1.0426,                 1.0622,                 1.4206,                0.83739,                 0.5625,                0.70042,                0.38654,                  1.511,                 1.3126,                 2.0227,             0.00063554,             0.00063554,             0.00063554
                    127,                 1.0337,                 1.0578,                 1.4061,                0.73291,                0.59367,                0.68211,                0.38191,                 1.5675,                 1.3261,                 2.0912,             0.00062729,             0.00062729,             0.00062729
                    128,                 1.0678,                 1.1003,                 1.4197,                0.69162,                0.62708,                0.68748,                  0.385,                 1.5654,                 1.3233,                 2.1256,             0.00061904,             0.00061904,             0.00061904
                    129,                 1.0322,                 1.0904,                 1.4174,                0.74068,                0.69063,                 0.7205,                   0.41,                 1.4683,                 1.2413,                 2.0312,             0.00061079,             0.00061079,             0.00061079
                    130,                 1.0104,                 1.0503,                 1.3992,                0.75558,                0.61519,                0.67226,                  0.397,                 1.5188,                 1.3674,                 2.0795,             0.00060254,             0.00060254,             0.00060254
                    131,                 1.0044,                 1.0296,                 1.3858,                0.81689,                0.61562,                0.70417,                0.38523,                 1.5734,                 1.3503,                 2.1121,             0.00059429,             0.00059429,             0.00059429
                    132,                0.99989,                 1.0313,                  1.373,                0.88054,                0.59896,                0.69506,                0.40169,                 1.4923,                 1.2703,                 2.0275,             0.00058603,             0.00058603,             0.00058603
