                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.85332,                0.93182,                 1.2919,                0.75053,                  0.678,                0.70818,                0.44875,                  1.398,                 1.2078,                 1.9453,             0.00044557,             0.00044557,             0.00044557
                    123,                0.83901,                0.92659,                 1.2826,                0.74235,                0.66286,                0.72537,                0.44361,                 1.4297,                 1.2927,                 1.9583,             0.00044007,             0.00044007,             0.00044007
                    124,                0.81588,                 0.8984,                 1.2782,                0.78264,                0.66436,                0.73073,                0.44537,                 1.4745,                 1.2357,                 2.0204,             0.00043457,             0.00043457,             0.00043457
                    125,                0.84124,                0.90364,                 1.2856,                0.78119,                0.63466,                0.72329,                0.46459,                 1.4111,                  1.247,                 1.9932,             0.00042907,             0.00042907,             0.00042907
                    126,                0.81495,                0.87565,                 1.2664,                0.70132,                0.66993,                0.73314,                0.47957,                 1.3521,                 1.1596,                 1.9212,             0.00042357,             0.00042357,             0.00042357
                    127,                0.81257,                0.87024,                 1.2696,                0.76941,                0.66299,                 0.7231,                0.45929,                 1.3975,                 1.2992,                 1.9734,             0.00041807,             0.00041807,             0.00041807
                    128,                0.79202,                0.84654,                 1.2607,                0.79002,                0.65009,                0.71511,                0.45501,                 1.4695,                  1.243,                 2.0627,             0.00041257,             0.00041257,             0.00041257
                    129,                0.79175,                 0.8644,                 1.2511,                0.83592,                0.61812,                0.70844,                0.45201,                 1.4459,                 1.2183,                 2.0112,             0.00040707,             0.00040707,             0.00040707
                    130,                0.77482,                0.83407,                 1.2424,                0.83773,                0.66662,                 0.7437,                0.46918,                 1.4089,                 1.1533,                 1.9884,             0.00040157,             0.00040157,             0.00040157
                    131,                0.79118,                0.83679,                 1.2462,                0.80321,                0.64828,                 0.7042,                0.46008,                 1.4446,                 1.2208,                 2.0278,             0.00039607,             0.00039607,             0.00039607
                    132,                0.77773,                0.82143,                 1.2411,                0.82085,                0.64398,                0.72356,                0.46289,                 1.4333,                 1.1969,                   2.02,             0.00039057,             0.00039057,             0.00039057
                    133,                0.78006,                0.82225,                 1.2314,                0.83011,                0.62289,                0.70563,                0.46065,                 1.4022,                 1.1998,                  1.999,             0.00038507,             0.00038507,             0.00038507
                    134,                0.78151,                0.85684,                  1.251,                0.77773,                0.68213,                 0.7122,                0.45071,                 1.4179,                  1.222,                 1.9997,             0.00037957,             0.00037957,             0.00037957
                    135,                 0.7742,                0.82855,                 1.2413,                0.82612,                0.64696,                0.71262,                0.45268,                 1.4038,                 1.1992,                 1.9979,             0.00037407,             0.00037407,             0.00037407
